"","country","countryname","sentence_id","text","date","party","partyname","text_id"
"2571",51,"United Kingdom",993,"We will increase the engagement of young people in our vibrant democracy, by giving 16- and 17-year-olds the right to vote in all elections.",202407,51320,"Labour Party","51320_202407_993"
"2572",51,"United Kingdom",994,"And we will protect democracy by strengthening the rules around donations to political parties.",202407,51320,"Labour Party","51320_202407_994"
"2573",51,"United Kingdom",995,"Greater collaboration and respect across the country",202407,51320,"Labour Party","51320_202407_995"
"2574",51,"United Kingdom",996,"As part of Labour’s plans to clean up politics and return it to the service of working people, we will reset the UK government’s relationship with devolved governments in Scotland, Wales, and Northern Ireland.",202407,51320,"Labour Party","51320_202407_996"
"2575",51,"United Kingdom",997,"The Conservatives weakened our country by disrespecting the legitimate role of devolved governments and parliaments.",202407,51320,"Labour Party","51320_202407_997"
"2576",51,"United Kingdom",998,"We will ensure members of devolved legislatures have the same free speech protections enjoyed by MPs at Westminster, so elected representatives can hold power to account.",202407,51320,"Labour Party","51320_202407_998"
"2577",51,"United Kingdom",999,"Labour will ensure the structures and institutions of intergovernmental working improve relationships and collaboration on policy.",202407,51320,"Labour Party","51320_202407_999"
"2578",51,"United Kingdom",1000,"Labour will strengthen the Sewel Convention by setting out a new memorandum of understanding outlining how the nations will work together for the common good.",202407,51320,"Labour Party","51320_202407_1000"
"2579",51,"United Kingdom",1001,"Labour will renew opportunities for the Prime Minister and Heads of Devolved Government to collaborate with each other.",202407,51320,"Labour Party","51320_202407_1001"
"2580",51,"United Kingdom",1002,"As recommended in the Report of the Commission on the UK’s future, we will establish a new Council of the Nations and Regions.",202407,51320,"Labour Party","51320_202407_1002"
"2581",51,"United Kingdom",1003,"This will bring together the Prime Minister, the First Ministers of Scotland and Wales, the First and deputy First Minister of Northern Ireland, and the Mayors of Combined Authorities.",202407,51320,"Labour Party","51320_202407_1003"
"2582",51,"United Kingdom",1004,"The next Labour government will also ensure that UK-wide bodies are more representative of our nations and regions.",202407,51320,"Labour Party","51320_202407_1004"
"2583",51,"United Kingdom",1005,"UK trade negotiators will work with devolved governments to promote our fantastic businesses and services internationally.",202407,51320,"Labour Party","51320_202407_1005"
"2584",51,"United Kingdom",1006,"Labour will restore decision-making over the allocation of structural funds to the representatives of Scotland, Wales, and Northern Ireland.",202407,51320,"Labour Party","51320_202407_1006"
"2585",51,"United Kingdom",1007,"The planned investments in public services outlined in this manifesto by a UK government will result in additional funding for Scotland, Wales, and Northern Ireland.",202407,51320,"Labour Party","51320_202407_1007"
"2586",51,"United Kingdom",1008,"Scottish devolution and the Scotland Office",202407,51320,"Labour Party","51320_202407_1008"
"2587",51,"United Kingdom",1009,"The people of Scotland deserve governments that are focused on delivering for them.",202407,51320,"Labour Party","51320_202407_1009"
"2588",51,"United Kingdom",1010,"Labour does not support independence or another referendum, but we know that after 14 years of the Conservatives, the people of Scotland need change.",202407,51320,"Labour Party","51320_202407_1010"
"2589",51,"United Kingdom",1011,"Labour will take a different approach in Scotland: we will protect and respect devolution and reset relations between governments.",202407,51320,"Labour Party","51320_202407_1011"
"2590",51,"United Kingdom",1012,"Labour will strengthen Scottish democracy and devolution, championing Scotland at home and abroad.",202407,51320,"Labour Party","51320_202407_1012"
"2591",51,"United Kingdom",1013,"We will ensure the devolution settlement for Scotland enables collaboration on Labour’s national missions for government.",202407,51320,"Labour Party","51320_202407_1013"
"2592",51,"United Kingdom",1014,"We will maintain the arrangements in the new Scottish fiscal framework.",202407,51320,"Labour Party","51320_202407_1014"
"2593",51,"United Kingdom",1015,"A UK Labour government will have a more collaborative approach to the Scottish Government on their international engagement.",202407,51320,"Labour Party","51320_202407_1015"
"2594",51,"United Kingdom",1016,"We recognise that within devolved competencies, the Scottish Government has an important role to play.",202407,51320,"Labour Party","51320_202407_1016"
"2595",51,"United Kingdom",1017,"In respect to wholly devolved issues, Labour will support the Scottish Government to partner with international bodies where relevant and appropriate, for example to collaborate on global health initiatives.",202407,51320,"Labour Party","51320_202407_1017"
"2596",51,"United Kingdom",1018,"The UK Government will retain full responsibility over foreign policy.",202407,51320,"Labour Party","51320_202407_1018"
"2597",51,"United Kingdom",1019,"The Scotland Office will maximise Scotland’s influence, and with Labour it will once again become an advocate for Scotland, both at home and abroad.",202407,51320,"Labour Party","51320_202407_1019"
"2598",51,"United Kingdom",1020,"The Scotland Office will ensure the voice of Scotland is properly heard on issues under the competence of the UK Government.",202407,51320,"Labour Party","51320_202407_1020"
"2599",51,"United Kingdom",1021,"Scotland has an enviable international reputation.",202407,51320,"Labour Party","51320_202407_1021"
"2600",51,"United Kingdom",1022,"Its culture, products and services are internationally renowned – from whisky and salmon to computer game development, bioscience and financial services.",202407,51320,"Labour Party","51320_202407_1022"
"2601",51,"United Kingdom",1023,"Labour will champion ‘Brand Scotland’ across the world through the Scotland Office, and our diplomatic and trade networks.",202407,51320,"Labour Party","51320_202407_1023"
"2602",51,"United Kingdom",1024,"Welsh devolution and the Wales Office",202407,51320,"Labour Party","51320_202407_1024"
"2603",51,"United Kingdom",1025,"Wales has been failed by a chaotic and divisive Conservative Government that does not understand the ambitions of the Welsh people and refuses to work with the Welsh Government to achieve them.",202407,51320,"Labour Party","51320_202407_1025"
"2604",51,"United Kingdom",1026,"Labour will serve Wales with a plan that matches those ambitions.",202407,51320,"Labour Party","51320_202407_1026"
"2605",51,"United Kingdom",1027,"We will strengthen the relationship between the governments in Westminster and Cardiff Bay.",202407,51320,"Labour Party","51320_202407_1027"
"2606",51,"United Kingdom",1028,"The two governments will work collaboratively to deliver Labour’s national missions.",202407,51320,"Labour Party","51320_202407_1028"
"2607",51,"United Kingdom",1029,"Labour recognises that the Welsh Fiscal Framework is out of date.",202407,51320,"Labour Party","51320_202407_1029"
"2608",51,"United Kingdom",1030,"We are committed to working in partnership with the Welsh Government to ensure the framework delivers value for money with two Labour governments committed to fiscal responsibility.",202407,51320,"Labour Party","51320_202407_1030"
"2609",51,"United Kingdom",1031,"Labour recognises the value of integrated public services, which are more efficient and create better outcomes.",202407,51320,"Labour Party","51320_202407_1031"
"2610",51,"United Kingdom",1032,"As part of the strategic review into probation, we will explore the devolution of services to enable them to be more locally responsive.",202407,51320,"Labour Party","51320_202407_1032"
"2611",51,"United Kingdom",1033,"We will work with the Welsh Labour Government to consider devolution of youth justice.",202407,51320,"Labour Party","51320_202407_1033"
"2612",51,"United Kingdom",1034,"In line with our commitment to devolve employment support in England, Labour will devolve employment support funding to the Welsh Government.",202407,51320,"Labour Party","51320_202407_1034"
